match_status,match_type,crops_page,crops_title,melody_page,melody_title
both,exact,7,AC_CENT_TCHU_ATE_THE_POSITIVE,10,AC_CENT_TCHU_ATE_THE_POSITIVE
both,exact,7,ACHIN_HEARTED_BLUES,11,ACHIN_HEARTED_BLUES
both,exact,8,AFTERNOON_IN_PARIS,12,AFTERNOON_IN_PARIS
both,exact,8,AFTER_YOU_VE_GONE,13,AFTER_YOUVE_GONE
both,exact,8,AGGRAVATIN_PAPA,15,AGGRAVATIN_PAPA
both,exact,9,AGAIN,14,AGAIN
both,exact,9,AH_LEU_CHA,14,AH_LEU_CHA
both,exact,9,AIN_T_CHA_GLAD,16,AINT_CHA_GLAD
both,exact,9,AIN_T_MISBEHAVIN,17,AINT_MISBEHAVIN
both,exact,10,AIREGIN,19,AIREGIN
both,exact,10,AIR_MAIL_SPECIAL,19,AIR_MAIL_SPECIAL
both,exact,10,ALABAMA_JUBILEE,20,ALABAMA_JUBILEE
both,exact,11,ALABAMY_BOUND,21,ALABAMY_BOUND
both,exact,11,ALEXANDER_S_RAGTIME_BAND,22,ALEXANDERS_RAGTIME_BAND
both,exact,11,ALL_ALONE,23,ALL_ALONE
both,exact,12,ALICE_BLUE_GOWN,23,ALICE_BLUE_GOWN
both,exact,12,ALL_GOD_S_CHILLUN_GOT_RHYTHM,25,ALL_GODS_CHILLUN_GOT_RHYTHM
both,exact,12,ALL_I_DO_IS_DREAM_OF_YOU,25,ALL_I_DO_IS_DREAM_OF_YOU
both,exact,13,ALLIGATOR_CRAWL,24,ALLIGATOR_CRAWL
both,exact,13,ALL_MY_LIFE,26,ALL_MY_LIFE
both,exact,13,ALL_OF_ME,26,ALL_OF_ME
both,exact,14,ALL_OF_YOU,27,ALL_OF_YOU
both,exact,14,ALL_OR_NOTHING_AT_ALL,27,ALL_OR_NOTHING_AT_ALL
both,exact,14,ALL_TOO_SOON,30,ALL_TOO_SOON
both,exact,15,ALL_THAT_MEAT_AND_NO_POTATOES,28,ALL_THAT_MEAT_AND_NO_POTATOES
both,exact,15,ALL_THE_THINGS_YOU_ARE,28,ALL_THE_THINGS_YOU_ARE
both,fuzzy:0.96,15,ALL_THE_WRONGS_YOU_VE_DONE_TO_ME,603,OF_ALL_THE_WRONGS_YOUVE_DONE_TO_ME
both,exact,15,ALL_THROUGH_THE_NIGHT,29,ALL_THROUGH_THE_NIGHT
both,exact,16,ALMOST_LIKE_BEING_IN_LOVE,30,ALMOST_LIKE_BEING_IN_LOVE
both,exact,16,ALONE,31,ALONE
both,exact,16,ALONE_TOGETHER,31,ALONE_TOGETHER
both,fuzzy:0.97,16,ALL_RIGHT_OKAY_YOU_WIN,32,ALRIGHT_OKAY_YOU_WIN
both,exact,17,ALWAYS,32,ALWAYS
both,exact,17,AMAPOLA,33,AMAPOLA
both,exact,17,AMERICAN_PATROL,34,AMERICAN_PATROL
both,exact,18,AM_I_BLUE,36,AM_I_BLUE
both,exact,18,AMONG_MY_SOUVENIRS,35,AMONG_MY_SOUVENIRS
both,exact,18,ANCHORS_AWEIGH,35,ANCHORS_AWEIGH
both,exact,19,AND_THE_ANGELS_SING,37,AND_THE_ANGELS_SING
both,exact,19,ANGEL_EYES,37,ANGEL_EYES
both,exact,19,ANGRY,38,ANGRY
both,exact,20,ANNIE_LAURIE,38,ANNIE_LAURIE
both,exact,20,ANTHROPOLOGY,39,ANTHROPOLOGY
both,exact,20,ANYTHING_GOES,39,ANYTHING_GOES
both,exact,20,APEX_BLUES,40,APEX_BLUES
both,exact,21,APRIL_IN_PARIS,40,APRIL_IN_PARIS
both,exact,21,APRIL_SHOWERS,41,APRIL_SHOWERS
both,exact,21,ARKANSAS_BLUES,41,ARKANSAS_BLUES
both,exact,21,ASK_ME_NOW,42,ASK_ME_NOW
both,exact,22,AS_LONG_AS_I_LIVE,42,AS_LONG_AS_I_LIVE
both,exact,22,AS_TIME_GOES_BY,43,AS_TIME_GOES_BY
both,exact,22,AT_A_GEORGIA_CAMP_MEETING,43,AT_A_GEORGIA_CAMP_MEETING
both,exact,25,AVALON,44,AVALON
both,exact,26,AZURE,44,AZURE
both,exact,26,AIN_T_SHE_SWEET,18,AINT_SHE_SWEET
both,exact,27,BABY,45,BABY
both,exact,27,BABY_BROWN,46,BABY_BROWN
both,exact,27,BABY_FACE,47,BABY_FACE
both,exact,28,BABY_IT_S_COLD_OUTSIDE,48,BABY_IT_S_COLD_OUTSIDE
both,exact,28,BABY_WON_T_YOU_PLEASE_COME_HOME,46,BABY_WONT_YOU_PLEASE_COME_HOME
both,exact,28,BACK_BAY_SHUFFLE,49,BACK_BAY_SHUFFLE
both,exact,29,BACK_IN_YOUR_OLD_BACKYARD,50,BACK_IN_YOUR_OLD_BACKYARD
both,exact,29,BACK_WATER_BLUES,50,BACK_WATER_BLUES
both,exact,29,BAGS_GROOVE,51,BAGS_GROOVE
both,exact,29,BALLIN_THE_JACK,51,BALLIN_THE_JACK
both,exact,29,BARBADOS,53,BARBADOS
both,exact,30,BALTIMORE,52,BALTIMORE
both,exact,30,BASIN_STREET_BLUES,53,BASIN_STREET_BLUES
both,exact,30,BATTLE_HYMN_OF_THE_REPUBLIC,54,BATTLE_HYMN_OF_THE_REPUBLIC
both,exact,31,BAUBLES_BANGLES_AND_BEADS,54,BAUBLES_BANGLES_AND_BEADS
both,exact,31,BEALE_STREET_BLUES,55,BEALE_STREET_BLUES
both,exact,31,BEALE_STREET_MAMA,56,BEALE_STREET_MAMA
both,exact,32,BEAU_KOO_JACK,57,BEAU_KO0_JACK
both,exact,32,BEAUTIFUL_LOVE,58,BEAUTIFUL_LOVE
both,exact,32,BE_BOP,59,BEBOP
both,exact,33,BECAUSE_OF_YOU,58,BECAUSE_OF_YOU
both,exact,33,BEGIN_THE_BEGUINE,60,BEGIN_THE_BEGUINE
both,exact,34,BEI_MIR_BIST_DU_SCHOEN,61,BEI_MIR_BIST_DU_SCHOEN
both,exact,34,BELIEVE_IT_BELOVED,62,BELIEVE_IT_BELOVED
both,exact,34,BEMSHA_SWING,62,BEMSHA_SWING
both,exact,34,BE_MY_LOVE,63,BE_MY_LOVE
both,exact,35,BERNIE_S_TUNE,63,BERNIES_TUNE
both,exact,35,BESAME_MUCHO,64,BESAME_MUCHO
both,fuzzy:0.95,35,BESSIE_COULDN_T_HELP_IT,64,BESSIE_COUDLN_T_HELP_IT
both,exact,35,BEST_THINGS_IN_LIFE_ARE_FREE_THE,65,BEST_THINGS_IN_LIFE_ARE_FREE
both,exact,36,BETWEEN_THE_DEVIL_AND_THE_DEEP_BLUE_SEA,65,BETWEEN_THE_DEVIL_AND_THE_DEEP_BLUE_SEA
both,exact,36,BEWITCHED,66,BEWITCHED
both,exact,36,BEYOND_THE_BLUE_HORIZON,66,BEYOND_THE_BLUE_HORIZON
both,exact,37,BIDIN_MY_TIME,67,BIDIN_MY_TIME
both,exact,37,BIG_BUTTER_AND_EGG_MAN,67,BIG_BUTTER_AND_EGG_MAN
both,exact,37,BIG_NOISE_FROM_WINNETKA,68,BIG_NOISE_FROM_WINNETKA
both,exact,38,BILLIES_BOUNCE,69,BILLIES_BOUNCE
both,exact,38,BILL_BAILEY,68,BILL_BAILEY
both,fuzzy:0.96,38,BIRDS_FEATHERS,70,BIRD_FEATHERS
both,manual,38,BILLY_BOY,69,BILLIE_BOY
both,exact,39,BIRKS_WORKS,70,BIRKS_WORKS
both,exact,39,BIRTH_OF_THE_BLUES,71,BIRTH_OF_THE_BLUES
both,exact,39,BLACK_AND_TAN_FANTASY,73,BLACK_AND_TAN_FANTASY
both,exact,40,BLACK_AND_BLUE,72,BLACK_AND_BLUE
both,exact,40,BLACK_BEAUTY,74,BLACK_BEAUTY
both,exact,40,BLACK_SNAKE_BLUES,78,BLACK_SNAKE_BLUES
both,exact,41,BLACK_BOTTOM,75,BLACK_BOTTOM
both,exact,41,BLACK_BOTTOM_STOMP,76,BLACK_BOTTOM_STOMP
both,exact,42,BLACK_COFFEE,77,BLACK_COFFEE
both,exact,42,BLUE,82,BLUE
both,exact,43,BLAME_IT_ON_THE_BLUES,79,BLAME_IT_ON_THE_BLUES
both,exact,43,BLUE_AGAIN,82,BLUE_AGAIN
both,exact,43,BLUE_AND_SENTIMENTAL,81,BLUE_AND_SENTIMENTAL
both,exact,44,BLUE_BECAUSE_OF_YOU,81,BLUE_BECAUSE_OF_YOU
both,exact,44,BLUEBERRY_HILL,80,BLUEBERRY_HILL
both,exact,44,BLUE_CHAMPAGNE,80,BLUE_CHAMPAGNE
both,exact,44,BLUE_INTERLUDE,83,BLUE_INTERLUDE
both,exact,45,BLUE_LOU,83,BLUE_LOU
both,exact,45,BLUE_MONK,88,BLUE_MONK
both,exact,45,BLUE_MOON,88,BLUE_MOON
both,exact,45,BLUE_N_BOOGIE,88,BLUE_N_BOOGIE
both,exact,45,BLUE_ORCHIDS,84,BLUE_ORCHIDS
both,exact,46,BLUE_PRELUDE,84,BLUE_PRELUDE
both,exact,46,BLUE_RIVER,85,BLUE_RIVER
both,exact,46,BLUE_ROOM,87,BLUE_ROOM
both,exact,47,BLUESETTE,87,BLUESETTE
both,exact,47,BLUES_IN_MY_HEART,89,BLUES_IN_MY_HEART
both,exact,47,BLUES_IN_THE_AIR,89,BLUES_IN_THE_AIR
both,exact,48,BLUES_IN_THE_CLOSET,90,BLUES_IN_THE_CLOSET
both,exact,48,BLUES_IN_THE_NIGHT,91,BLUES_IN_THE_NIGHT
both,exact,48,BLUE_SKIES,90,BLUE_SKIES
both,exact,48,BLUES_MARCH,92,BLUES_MARCH
both,fuzzy:1.00,49,BLUES_MY_NAUGHTY,92,BLUES_MY_NAUGHTY_SWEETIE
both,exact,49,BLUE_TURNING_GREY_OVER_YOU,86,BLUE_TURNING_GREY_OVER_YOU
both,exact,49,BLUIN_THE_BLUES,95,BLUIN_THE_BLUES
both,exact,50,BLUESOLOGY,86,BLUESOLOGY
both,exact,50,BODY_AND_SOUL,96,BODY_AND_SOUL
both,exact,50,BOHEMIA_AFTER_DARK,96,BOHEMIA_AFTER_DARK
both,exact,51,BOUNCING_WITH_BUD,97,BOUNCING_WITH_BUD
both,exact,52,BREEZE_AND_I_THE,99,THE_BREEZE_AND_I
both,exact,52,BREEZIN_ALONG_WITH_THE_BREEZE,99,BREEZIN_ALONG_WITH_THE_BREEZE
both,exact,52,BROADWAY,100,BROADWAY
both,exact,53,BROTHER_CAN_YOU_SPARE_A_DIME,100,BROTHER_CAN_YOU_SPARE_A_DIME
both,exact,53,BROWN_SUGAR,101,BROWN_SUGAR
both,exact,53,BUDDY_BOLDEN_S_BLUES,101,BUDDY_BOLDENS_BLUES
both,exact,54,BUDDY_S_HABITS,102,BUDDYS_HABITS
both,exact,54,BUDO,103,BUDO
both,exact,55,BUGLE_BOY_MARCH,104,BUGLE_BOY_MARCH
both,exact,55,BUGLE_CALL_RAG,103,BUGLE_CALL_RAG
both,exact,55,BUTTON_UP_YOUR_OVERCOAT,106,BUTTON_UP_YOUR_OVERCOAT
both,exact,56,BUT_BEAUTIFUL,105,BUT_BEAUTIFUL
both,exact,56,BUT_NOT_FOR_ME,105,BUT_NOT_FOR_ME
both,exact,56,BUZZY,106,BUZZY
both,exact,56,BYE_BYE_BLACKBIRD,110,BYE_BYE_BLACKBIRD
both,exact,57,BYE_BYE_BLUES,110,BYE_BYE_BLUES
both,exact,57,BY_THE_BEAUTIFUL_SEA,107,BY_THE_BEAUTIFUL_SEA
both,exact,57,BY_THE_LIGHT_OF_THE_SILVERY_MOON,108,BY_THE_LIGHT_OF_THE_SILVERY_MOON
both,exact,58,BY_THE_RIVER_SAINTE_MARIE,107,BY_THE_RIVER_SAINTE_MARIE
both,exact,58,BY_THE_WATERS_OF_MINNETONKA,109,BY_THE_WATERS_OF_MINNETONKA
both,exact,59,CAKEWALKING_BABIES_FROM_HOME,112,CAKEWALKING_BABIES_FROM_HOME
both,exact,59,CALDONIA,113,CALDONIA
both,fuzzy:0.89,59,CALIFORNIA_HERE_I_AM,113,CALIFORNIA_HERE_I_COME
both,exact,59,CALL_ME_DARLING,114,CALL_ME_DARLING
both,exact,60,CALL_ME_IRRESPONSIBLE,114,CALL_ME_IRRESPONSIBLE
both,exact,60,CALL_OF_THE_FREAKS,115,CALL_OF_THE_FREAKS
both,exact,60,CAMP_MEETING_BLUES,115,CAMP_MEETING_BLUES
both,exact,60,CANAL_STREET_BLUES,118,CANAL_STREET_BLUES
both,exact,61,CANADIAN_CAPERS,116,CANADIAN_CAPERS
both,exact,62,CANADIAN_SUNSET,117,CANADIAN_SUNSET
both,exact,62,CANDY_LIPS,119,CANDY_LIPS
